Line#,Date,"Temperature (S-THB 10979906:10974876-1), *C, Bree_met_5","Wind Speed (S-WSB 10979906:10955814-1), m/s, Bree_met_5","Solar Radiation (S-LIB 10979906:10969905-1), W/m^2, Bree_met_5","RH (S-THB 10979906:10974876-2), %, Bree_met_5","PAR (S-LIA 10979906:10962914-1), uE, Bree_met_5","Gust Speed (S-WSB 10979906:10955814-2), m/s, Bree_met_5","Wind Direction (S-WDA 10979906:10969970-1), *, Bree_met_5","Pressure (S-BPB 10979906:10972867-1), mbar, Bree_met_5","Dew Point (S-THB 10979906:10974876-3), *C, Bree_met_5","Battery (RX3000 BATTERY 10979906:10979906-B), V, Bree_met_5"
1269,07/28/20 12:30:00,24.44,2.5,182,89.70,391,3.5,157,992.1,22.66,4.459
1270,07/28/20 12:35:00,24.53,3.0,161,89.50,361,4.5,157,992.3,22.72,4.435
1271,07/28/20 12:40:00,24.60,3.0,217,88.30,486,4.5,175,992.0,22.57,4.415
1272,07/28/20 12:45:00,24.70,2.5,243,88.30,551,4.0,194,992.2,22.66,4.403
1273,07/28/20 12:50:00,24.82,2.5,336,87.90,746,4.0,190,992.1,22.71,4.403
1274,07/28/20 12:55:00,24.94,3.0,596,87.50,"1,251",4.0,190,992.1,22.75,4.439
1275,07/28/20 13:00:00,24.85,2.5,343,88.50,761,4.0,192,992.1,22.85,4.462
1276,07/28/20 13:05:00,24.94,2.5,319,87.80,676,4.0,195,992.2,22.81,4.439
1277,07/28/20 13:10:00,25.02,4.0,139,86.30,296,6.0,198,992.2,22.60,4.420
1278,07/28/20 13:15:00,25.04,3.5,118,85.70,251,5.5,198,992.4,22.51,4.406
1279,07/28/20 13:20:00,25.06,3.5,197,86.40,409,5.0,202,992.4,22.66,4.398
1280,07/28/20 13:25:00,25.04,3.5,157,85.70,324,5.5,216,992.7,22.51,4.430
1281,07/28/20 13:30:00,25.09,2.5,224,85.10,479,3.5,215,992.4,22.44,4.459
1282,07/28/20 13:35:00,25.19,3.5,383,84.70,824,5.0,212,992.4,22.45,4.451
1283,07/28/20 13:40:00,25.26,3.0,253,84.20,516,4.5,212,992.4,22.43,4.424
1284,07/28/20 13:45:00,25.26,4.0,248,83.50,506,6.5,202,992.3,22.29,4.412
1285,07/28/20 13:50:00,25.40,3.5,321,84.40,664,5.0,202,992.4,22.61,4.403
1286,07/28/20 13:55:00,25.50,3.5,354,82.90,741,5.0,215,992.4,22.41,4.411
1287,07/28/20 14:00:00,25.65,2.5,449,82.80,931,4.5,229,992.4,22.53,4.448
1288,07/28/20 14:05:00,25.57,2.0,232,82.50,476,4.0,237,992.5,22.40,4.460
1289,07/28/20 14:10:00,25.60,3.0,207,83.40,421,5.0,246,992.4,22.60,4.430
1290,07/28/20 14:15:00,25.45,2.5,109,82.80,229,6.0,260,992.5,22.34,4.417
1291,07/28/20 14:20:00,25.50,3.0,203,82.20,446,4.5,241,992.5,22.27,4.405
1292,07/28/20 14:25:00,25.65,3.5,278,81.10,616,5.0,233,992.4,22.19,4.398
1293,07/28/20 14:30:00,25.79,3.0,906,81.00,"1,869",5.0,230,992.3,22.31,4.436
1294,07/28/20 14:35:00,25.96,3.0,339,79.50,734,5.0,230,992.3,22.17,4.463
1295,07/28/20 14:40:00,26.04,4.5,961,79.20,"1,971",7.5,227,992.4,22.18,4.444
1296,07/28/20 14:45:00,26.30,3.5,339,77.70,714,6.0,227,992.3,22.12,4.418
1297,07/28/20 14:50:00,26.50,4.0,361,76.10,754,5.5,230,992.3,21.97,4.409
1298,07/28/20 14:55:00,26.35,6.0,788,73.30,"1,619",9.6,223,992.3,21.22,4.400
1299,07/28/20 15:00:00,26.48,5.5,493,71.60,"1,051",9.1,241,992.4,20.95,4.420
1300,07/28/20 15:05:00,26.55,5.0,499,69.60,"1,041",7.0,234,992.4,20.56,4.457
1301,07/28/20 15:10:00,26.62,5.5,513,67.70,"1,061",8.6,229,992.4,20.18,4.457
1302,07/28/20 15:15:00,26.60,7.5,511,67.90,"1,056",10.6,206,992.6,20.21,4.424
1303,07/28/20 15:20:00,26.57,5.0,468,67.50,966,8.1,225,992.6,20.09,4.412
1304,07/28/20 15:25:00,26.52,7.0,716,65.40,"1,451",9.6,218,992.4,19.53,4.403
1305,07/28/20 15:30:00,26.55,6.0,754,65.20,"1,526",10.1,222,992.4,19.50,4.412
1306,07/28/20 15:35:00,26.45,6.5,531,66.50,"1,076",9.1,230,992.5,19.73,4.450
1307,07/28/20 15:40:00,26.35,6.0,427,68.70,874,8.6,225,992.6,20.16,4.463
1308,07/28/20 15:45:00,26.48,6.5,758,60.30,"1,516",9.6,213,992.6,18.18,4.435
1309,07/28/20 15:50:00,26.48,7.0,722,57.60,"1,451",9.6,212,992.6,17.45,4.414
1310,07/28/20 15:55:00,26.62,5.5,787,56.40,"1,584",9.1,219,992.8,17.26,4.405
1311,07/28/20 16:00:00,26.84,5.0,786,52.30,"1,579",8.1,223,992.7,16.27,4.405
1312,07/28/20 16:05:00,26.84,6.0,824,52.30,"1,666",8.6,213,992.8,16.27,4.441
1313,07/28/20 16:10:00,26.74,6.5,"1,029",50.60,"2,031",9.6,204,992.8,15.66,4.460
1314,07/28/20 16:15:00,26.79,6.0,751,56.10,"1,501",8.1,204,992.7,17.33,4.423
1315,07/28/20 16:20:00,26.70,5.5,981,54.90,"1,926",7.5,202,992.7,16.90,4.398
1316,07/28/20 16:25:00,26.84,6.0,346,49.30,704,9.1,218,992.8,15.35,4.447
1317,07/28/20 16:30:00,26.82,5.5,466,49.30,946,8.1,232,992.8,15.32,4.468
1318,07/28/20 16:35:00,26.87,5.0,998,52.10,"1,971",7.5,226,992.9,16.23,4.436
1319,07/28/20 16:40:00,26.87,5.5,854,52.40,"1,706",9.6,222,992.7,16.32,4.417
1320,07/28/20 16:45:00,27.04,5.0,899,50.60,"1,789",8.6,246,992.9,15.93,4.406
1321,07/28/20 16:50:00,26.89,5.0,818,53.00,"1,641",8.1,233,992.9,16.52,4.400
1322,07/28/20 16:55:00,27.21,6.0,973,54.10,"1,951",9.1,218,992.8,17.14,4.432
1323,07/28/20 17:00:00,27.09,5.5,957,54.00,"1,924",8.1,220,992.8,17.00,4.454
1324,07/28/20 17:05:00,27.16,5.0,937,51.40,"1,874",7.5,236,992.7,16.29,4.441
1325,07/28/20 17:10:00,27.23,5.5,903,52.70,"1,836",8.6,218,992.7,16.75,4.415
1326,07/28/20 17:15:00,27.33,5.5,892,49.90,"1,814",8.1,241,992.6,15.98,4.405
1327,07/28/20 17:20:00,27.43,6.0,953,48.80,"1,929",9.6,241,992.8,15.73,4.405
1328,07/28/20 17:25:00,27.36,5.5,846,52.80,"1,736",8.1,223,992.8,16.90,4.442
1329,07/28/20 17:30:00,27.46,4.5,963,49.90,"1,929",7.5,222,992.8,16.10,4.460
1330,07/28/20 17:35:00,27.80,3.5,917,50.90,"1,876",6.0,223,992.8,16.73,4.432
1331,07/28/20 17:40:00,27.63,5.5,912,45.10,"1,859",9.6,257,992.5,14.68,4.409
1332,07/28/20 17:45:00,27.48,6.5,907,44.90,"1,849",8.6,246,992.6,14.47,4.403
1333,07/28/20 17:50:00,27.75,5.5,897,45.50,"1,834",9.1,233,992.7,14.93,4.414
1334,07/28/20 17:55:00,27.70,5.5,883,46.10,"1,814",9.1,250,992.6,15.08,4.448
1335,07/28/20 18:00:00,27.75,6.5,854,47.90,"1,774",8.6,233,992.4,15.73,4.456
1336,07/28/20 18:05:00,27.78,6.5,854,44.70,"1,776",10.1,225,992.5,14.67,4.423
1337,07/28/20 18:10:00,27.83,5.0,851,42.50,"1,774",8.1,246,992.6,13.94,4.408
1338,07/28/20 18:15:00,27.80,5.5,843,47.30,"1,766",9.6,250,992.5,15.57,4.400
1339,07/28/20 18:20:00,27.87,5.0,837,44.40,"1,759",8.1,239,992.6,14.66,4.423
1340,07/28/20 18:25:00,27.85,4.0,826,44.10,"1,739",7.0,270,992.7,14.53,4.456
1341,07/28/20 18:30:00,28.15,5.0,809,43.90,"1,714",7.5,256,992.6,14.73,4.450
1342,07/28/20 18:35:00,27.97,5.0,808,43.40,"1,714",7.5,256,992.7,14.39,4.415
1343,07/28/20 18:40:00,27.92,5.0,799,46.70,"1,699",8.1,236,992.6,15.49,4.406
1344,07/28/20 18:45:00,27.95,5.0,789,46.50,"1,684",7.5,248,992.7,15.44,4.398
1345,07/28/20 18:50:00,27.87,5.5,782,42.60,"1,671",9.6,250,992.6,14.02,4.433
1346,07/28/20 18:55:00,28.07,5.5,777,44.10,"1,661",9.1,270,992.6,14.73,4.459
1347,07/28/20 19:00:00,28.02,5.0,766,43.80,"1,646",9.1,258,992.8,14.58,4.441
1348,07/28/20 19:05:00,28.07,3.0,753,43.40,"1,621",5.5,247,992.6,14.48,4.412
1349,07/28/20 19:10:00,28.05,5.0,747,45.00,"1,614",8.1,250,992.5,15.02,4.403
1350,07/28/20 19:15:00,28.17,4.0,742,43.50,"1,601",6.5,253,992.5,14.61,4.405
1351,07/28/20 19:20:00,28.12,4.0,732,43.20,"1,581",6.0,250,992.5,14.46,4.447
1352,07/28/20 19:25:00,28.20,4.5,714,43.00,"1,554",7.0,248,992.5,14.45,4.460
1353,07/28/20 19:30:00,28.00,5.5,706,42.80,"1,534",8.1,263,992.4,14.20,4.423
1354,07/28/20 19:35:00,28.17,4.0,696,44.80,"1,516",6.0,271,992.4,15.06,4.409
1355,07/28/20 19:40:00,28.15,6.0,689,43.80,"1,499",9.1,243,992.4,14.69,4.402
1356,07/28/20 19:45:00,28.17,5.0,682,43.60,"1,489",9.1,241,992.5,14.64,4.405
1357,07/28/20 19:50:00,28.30,4.5,666,42.10,"1,456",8.1,254,992.3,14.21,4.445
1358,07/28/20 19:55:00,28.34,5.5,662,44.20,"1,446",9.1,247,992.4,15.01,4.456
1359,07/28/20 20:00:00,28.44,5.0,648,41.60,"1,419",8.6,254,992.2,14.16,4.421
1360,07/28/20 20:05:00,28.44,4.5,634,43.50,"1,394",10.1,261,992.3,14.85,4.408
1361,07/28/20 20:10:00,28.39,4.5,628,43.00,"1,379",7.5,260,992.3,14.63,4.400
1362,07/28/20 20:15:00,28.37,5.0,609,43.20,"1,341",8.6,243,992.1,14.68,4.392
1363,07/28/20 20:20:00,28.30,5.5,588,41.80,"1,299",9.6,256,992.2,14.10,4.405
1364,07/28/20 20:25:00,28.30,5.0,582,41.20,"1,286",8.6,246,992.2,13.88,4.447
1365,07/28/20 20:30:00,28.27,4.0,578,45.20,"1,276",6.5,254,992.1,15.29,4.451
1366,07/28/20 20:35:00,28.42,4.0,563,44.00,"1,246",7.0,257,992.2,15.01,4.429
1367,07/28/20 20:40:00,28.34,4.0,557,42.70,689,6.5,251,992.1,14.48,4.411
1368,07/28/20 20:45:00,28.34,5.5,532,42.40,"1,184",9.1,274,992.2,14.37,4.402
1369,07/28/20 20:50:00,28.32,5.0,521,43.00,"1,161",8.6,251,991.9,14.56,4.400
1370,07/28/20 20:55:00,28.27,6.0,507,41.20,"1,134",9.1,257,992.2,13.86,4.420
1371,07/28/20 21:00:00,28.27,5.0,509,43.00,"1,136",8.6,260,992.2,14.52,4.445
1372,07/28/20 21:05:00,28.42,5.0,484,43.00,"1,086",7.5,258,991.9,14.65,4.439
1373,07/28/20 21:10:00,28.39,5.0,438,42.30,994,8.6,267,992.1,14.37,4.414
1374,07/28/20 21:15:00,28.39,5.5,454,42.30,"1,021",8.1,263,992.1,14.37,4.405
1375,07/28/20 21:20:00,28.37,5.5,439,42.10,994,8.1,261,992.0,14.28,4.398
1376,07/28/20 21:25:00,28.39,5.0,448,41.40,"1,006",7.5,257,992.0,14.04,4.408
1377,07/28/20 21:30:00,28.42,5.5,422,41.90,954,7.0,246,991.9,14.25,4.438
1378,07/28/20 21:35:00,28.37,5.0,402,42.10,911,7.5,237,992.0,14.28,4.448
1379,07/28/20 21:40:00,28.49,4.0,372,44.80,851,7.0,244,992.3,15.36,4.432
1380,07/28/20 21:45:00,28.59,3.0,377,42.00,856,6.0,237,992.1,14.44,4.411
1381,07/28/20 21:50:00,28.39,5.0,351,45.30,801,9.1,251,992.4,15.44,4.402
1382,07/28/20 21:55:00,28.39,4.0,342,46.40,784,7.5,250,992.3,15.81,4.402
1383,07/28/20 22:00:00,28.42,3.5,328,43.70,754,5.5,247,992.2,14.90,4.415
1384,07/28/20 22:05:00,28.37,3.5,316,42.80,726,5.5,246,992.4,14.53,4.439
1385,07/28/20 22:10:00,28.32,4.0,299,44.50,689,6.0,260,992.3,15.09,4.439
1386,07/28/20 22:15:00,28.34,4.0,288,42.50,666,6.0,241,992.3,14.40,4.420
1387,07/28/20 22:20:00,28.37,4.0,261,42.20,606,5.5,247,992.3,14.32,4.406
1388,07/28/20 22:25:00,28.32,3.5,259,44.20,596,6.0,263,992.4,14.99,4.398
1389,07/28/20 22:30:00,28.20,3.5,238,44.90,554,5.5,270,992.4,15.12,4.403
1390,07/28/20 22:35:00,28.12,3.5,228,45.20,529,6.0,268,992.5,15.16,4.420
1391,07/28/20 22:40:00,28.22,2.5,211,46.80,491,4.5,268,992.5,15.79,4.435
1392,07/28/20 22:45:00,28.10,2.5,196,45.90,456,4.0,264,992.5,15.38,4.439
1393,07/28/20 22:50:00,28.25,2.0,186,46.00,434,3.5,254,992.7,15.54,4.423
1394,07/28/20 22:55:00,28.22,2.0,177,45.70,409,3.0,250,992.7,15.42,4.408
1395,07/28/20 23:00:00,28.05,2.0,159,46.00,369,4.0,254,992.8,15.36,4.400
1396,07/28/20 23:05:00,27.90,3.0,147,45.50,339,4.5,260,992.8,15.06,4.400
1397,07/28/20 23:10:00,27.85,2.5,133,48.50,304,4.0,260,992.7,16.01,4.411
1398,07/28/20 23:15:00,27.63,2.0,96,50.20,226,3.0,254,993.0,16.35,4.421
1399,07/28/20 23:20:00,27.48,2.5,59,48.80,154,4.5,239,993.5,15.77,4.429
1400,07/28/20 23:25:00,27.21,2.5,27,51.90,96,4.0,225,994.1,16.49,4.432
1401,07/28/20 23:30:00,27.04,2.0,71,51.70,164,3.5,225,993.4,16.27,4.432
1402,07/28/20 23:35:00,27.06,2.0,72,54.70,161,3.0,226,993.4,17.18,4.432
1403,07/28/20 23:40:00,27.11,2.0,63,49.00,139,3.0,229,993.4,15.50,4.433
1404,07/28/20 23:45:00,27.04,2.0,53,49.30,116,3.0,225,993.6,15.53,4.433
1405,07/28/20 23:50:00,26.79,1.5,41,52.70,91,3.0,226,993.6,16.34,4.430
1406,07/28/20 23:55:00,26.18,1.5,26,58.90,64,2.0,233,994.0,17.53,4.427
1407,07/29/20 00:00:00,25.26,1.0,13,61.90,44,1.5,236,994.3,17.45,4.424
1408,07/29/20 00:05:00,25.06,0.5,11,63.30,36,1.0,236,994.2,17.63,4.420
1409,07/29/20 00:10:00,24.75,0.5,8,65.20,26,1.0,236,994.3,17.80,4.415
1410,07/29/20 00:15:00,24.60,0.5,6,66.00,19,1.5,239,994.4,17.85,4.397
1411,07/29/20 00:20:00,24.70,1.0,4,63.00,11,1.5,241,994.5,17.21,4.386
1412,07/29/20 00:25:00,24.68,1.0,2,64.40,6,1.5,241,994.4,17.53,4.386
1413,07/29/20 00:30:00,24.60,1.0,1,65.80,4,2.0,241,994.5,17.81,4.386
1414,07/29/20 00:35:00,24.22,1.0,1,68.70,1,2.0,251,994.6,18.12,4.385
1415,07/29/20 00:40:00,24.19,1.5,1,65.50,1,2.0,253,994.6,17.34,4.383
1416,07/29/20 00:45:00,24.22,1.5,1,66.50,1,2.0,253,994.6,17.61,4.382
1417,07/29/20 00:50:00,24.48,1.0,1,62.70,1,2.0,254,994.6,16.93,4.380
1418,07/29/20 00:55:00,24.53,1.0,1,66.20,1,2.0,253,994.9,17.83,4.379
1419,07/29/20 01:00:00,23.66,0.5,1,72.00,1,1.5,233,995.0,18.34,4.379
1420,07/29/20 01:05:00,23.14,0.5,1,74.70,1,1.5,136,994.9,18.42,4.377
1421,07/29/20 01:10:00,22.85,0.5,1,74.50,1,1.5,136,995.1,18.10,4.376
1422,07/29/20 01:15:00,22.70,0.5,1,75.80,1,1.0,138,995.2,18.24,4.376
1423,07/29/20 01:20:00,22.61,0.5,1,75.80,1,1.0,138,995.4,18.14,4.374
1424,07/29/20 01:25:00,22.75,0.5,1,75.30,1,1.0,138,995.4,18.18,4.374
1425,07/29/20 01:30:00,22.78,0.0,1,73.90,1,1.0,138,995.6,17.90,4.373
1426,07/29/20 01:35:00,22.47,0.0,1,78.70,1,0.0,138,995.7,18.60,4.373
1427,07/29/20 01:40:00,22.51,0.0,1,74.70,1,0.5,138,995.7,17.82,4.371
1428,07/29/20 01:45:00,22.70,0.0,1,74.80,1,0.5,138,995.8,18.03,4.371
1429,07/29/20 01:50:00,22.73,0.0,1,74.40,1,1.0,138,995.7,17.96,4.370
1430,07/29/20 01:55:00,22.75,0.5,1,75.90,1,1.0,138,995.8,18.30,4.370
1431,07/29/20 02:00:00,22.32,1.0,1,81.50,1,2.0,170,995.7,19.03,4.368
1432,07/29/20 02:05:00,21.58,2.5,1,79.70,1,4.0,181,995.9,17.95,4.368
1433,07/29/20 02:10:00,21.77,3.0,1,78.90,1,4.0,184,996.0,17.97,4.367
1434,07/29/20 02:15:00,21.99,3.0,1,80.00,1,3.5,180,995.9,18.40,4.367
1435,07/29/20 02:20:00,22.23,3.0,1,78.60,1,3.5,178,995.9,18.35,4.365
1436,07/29/20 02:25:00,22.20,2.5,1,77.50,1,3.5,187,996.0,18.10,4.365
1437,07/29/20 02:30:00,22.23,2.5,1,79.10,1,3.5,183,995.9,18.45,4.365
1438,07/29/20 02:35:00,22.25,2.5,1,77.00,1,3.5,177,995.9,18.05,4.365
1439,07/29/20 02:40:00,21.99,2.5,1,78.10,1,3.0,183,995.9,18.02,4.364
1440,07/29/20 02:45:00,21.82,2.5,1,79.90,1,3.0,197,996.0,18.22,4.364
1441,07/29/20 02:50:00,22.03,2.5,1,75.70,1,4.0,197,996.1,17.57,4.362
1442,07/29/20 02:55:00,21.89,2.5,1,76.40,1,3.5,197,996.2,17.58,4.362
1443,07/29/20 03:00:00,21.99,2.5,1,75.30,1,3.5,192,996.2,17.44,4.362
1444,07/29/20 03:05:00,22.03,2.5,1,74.00,1,3.5,187,996.3,17.21,4.362
1445,07/29/20 03:10:00,21.99,2.5,1,77.00,1,3.0,178,996.2,17.79,4.361
1446,07/29/20 03:15:00,21.80,2.5,1,75.00,1,3.5,174,996.3,17.19,4.361
1447,07/29/20 03:20:00,21.72,2.0,1,78.20,1,3.0,185,996.4,17.78,4.361
1448,07/29/20 03:25:00,21.70,2.0,1,77.80,1,3.5,188,996.4,17.68,4.359
1449,07/29/20 03:30:00,21.65,2.5,1,77.30,1,3.5,190,996.5,17.53,4.359
1450,07/29/20 03:35:00,21.68,2.5,1,77.50,1,3.5,191,996.5,17.59,4.358
1451,07/29/20 03:40:00,21.56,2.5,1,79.00,1,4.0,192,996.5,17.78,4.358
1452,07/29/20 03:45:00,21.72,2.5,1,78.20,1,3.5,190,996.6,17.78,4.356
1453,07/29/20 03:50:00,21.82,2.5,1,77.30,1,3.5,194,996.7,17.69,4.356
1454,07/29/20 03:55:00,22.18,2.5,1,78.30,1,3.5,194,996.5,18.24,4.356
1455,07/29/20 04:00:00,22.39,3.0,1,75.80,1,4.0,195,996.5,17.94,4.355
1456,07/29/20 04:05:00,22.58,3.0,1,73.80,1,4.0,194,996.6,17.70,4.355
1457,07/29/20 04:10:00,22.70,3.0,1,74.00,1,4.5,195,996.5,17.85,4.355
1458,07/29/20 04:15:00,22.75,3.0,1,72.70,1,4.0,192,996.5,17.62,4.347
1459,07/29/20 04:20:00,22.68,3.0,1,72.80,1,4.0,195,996.6,17.57,4.343
1460,07/29/20 04:25:00,22.58,3.0,1,72.70,1,4.0,194,996.6,17.46,4.347
1461,07/29/20 04:30:00,22.56,3.0,1,73.80,1,4.5,194,996.7,17.67,4.350
1462,07/29/20 04:35:00,22.54,2.5,1,71.50,1,3.5,195,996.7,17.15,4.352
1463,07/29/20 04:40:00,22.56,3.0,1,73.60,1,4.0,194,996.7,17.63,4.353
1464,07/29/20 04:45:00,22.66,3.5,1,70.60,1,4.5,191,996.8,17.06,4.353
1465,07/29/20 04:50:00,22.75,3.5,1,72.10,1,4.5,194,996.8,17.49,4.353
1466,07/29/20 04:55:00,22.66,3.5,1,71.80,1,4.0,198,996.7,17.33,4.353
1467,07/29/20 05:00:00,22.56,3.0,1,71.40,1,4.0,194,996.7,17.15,4.353
1468,07/29/20 05:05:00,22.47,3.0,1,71.20,1,4.0,192,996.6,17.01,4.353
1469,07/29/20 05:10:00,22.32,3.0,1,75.30,1,3.5,184,996.7,17.76,4.353
1470,07/29/20 05:15:00,21.82,2.5,1,76.30,1,3.5,167,996.8,17.48,4.353
1471,07/29/20 05:20:00,21.53,2.5,1,76.20,1,3.0,160,996.8,17.19,4.353
1472,07/29/20 05:25:00,21.41,2.5,1,76.50,1,3.5,161,996.9,17.13,4.352
1473,07/29/20 05:30:00,21.46,2.5,1,77.00,1,3.5,164,996.9,17.28,4.352
1474,07/29/20 05:35:00,21.39,2.5,1,76.60,1,3.5,166,997.0,17.13,4.352
1475,07/29/20 05:40:00,21.41,2.5,1,77.10,1,3.5,170,996.9,17.26,4.352
1476,07/29/20 05:45:00,21.27,2.5,1,77.40,1,3.5,171,996.9,17.18,4.352
1477,07/29/20 05:50:00,21.15,2.5,1,76.80,1,3.5,170,997.0,16.94,4.352
1478,07/29/20 05:55:00,20.98,2.5,1,77.00,1,3.0,167,997.1,16.82,4.352
1479,07/29/20 06:00:00,21.03,2.5,1,78.80,1,3.0,163,997.1,17.23,4.352
1480,07/29/20 06:05:00,20.91,2.0,1,79.40,1,3.0,159,997.2,17.24,4.350
1481,07/29/20 06:10:00,20.86,2.0,1,79.50,1,3.0,157,997.2,17.21,4.350
1482,07/29/20 06:15:00,20.89,2.5,1,80.60,1,3.5,166,997.0,17.45,4.350
1483,07/29/20 06:20:00,20.82,2.0,1,80.80,1,3.0,161,997.0,17.42,4.350
1484,07/29/20 06:25:00,20.75,2.0,1,80.10,1,2.5,154,997.1,17.21,4.350
1485,07/29/20 06:30:00,20.72,2.0,1,79.00,1,2.5,156,997.1,16.97,4.350
1486,07/29/20 06:35:00,20.91,2.0,1,77.30,1,3.0,153,997.2,16.81,4.350
1487,07/29/20 06:40:00,20.84,2.0,1,76.90,1,3.0,163,997.2,16.66,4.350
1488,07/29/20 06:45:00,20.72,2.0,1,78.30,1,3.0,168,997.3,16.83,4.349
1489,07/29/20 06:50:00,20.89,2.0,1,80.70,1,3.0,175,997.4,17.47,4.349
1490,07/29/20 06:55:00,20.67,2.0,1,78.90,1,2.5,166,997.4,16.90,4.349
1491,07/29/20 07:00:00,20.46,1.5,1,78.60,1,2.5,157,997.5,16.64,4.349
1492,07/29/20 07:05:00,20.56,1.0,1,81.30,1,2.0,159,997.4,17.26,4.349
1493,07/29/20 07:10:00,20.46,1.0,1,80.10,1,2.0,159,997.4,16.93,4.349
1494,07/29/20 07:15:00,20.46,1.0,1,80.00,1,1.5,161,997.3,16.91,4.349
1495,07/29/20 07:20:00,20.41,1.0,1,79.60,1,2.0,161,997.3,16.79,4.349
1496,07/29/20 07:25:00,20.34,1.0,1,80.30,1,2.0,161,997.4,16.86,4.347
1497,07/29/20 07:30:00,20.46,1.0,1,80.90,1,2.0,161,997.4,17.09,4.347
1498,07/29/20 07:35:00,20.39,1.0,1,83.00,1,2.0,178,997.5,17.43,4.347
1499,07/29/20 07:40:00,20.08,0.5,1,82.90,1,1.5,201,997.3,17.11,4.347
1500,07/29/20 07:45:00,20.10,0.0,1,83.10,1,1.5,199,997.2,17.17,4.347
1501,07/29/20 07:50:00,20.08,0.5,1,84.40,1,1.5,164,997.3,17.39,4.347
1502,07/29/20 07:55:00,20.01,0.5,1,82.20,1,1.5,152,997.3,16.90,4.346
1503,07/29/20 08:00:00,20.08,0.5,1,82.00,1,1.0,154,997.4,16.93,4.346
1504,07/29/20 08:05:00,20.06,0.5,1,82.40,1,1.5,154,997.4,16.99,4.346
1505,07/29/20 08:10:00,19.96,0.5,1,81.50,1,1.5,154,997.3,16.72,4.346
1506,07/29/20 08:15:00,19.98,0.5,1,83.80,1,1.0,154,997.3,17.18,4.335
1507,07/29/20 08:20:00,19.89,0.0,1,85.20,1,1.0,154,997.5,17.35,4.329
1508,07/29/20 08:25:00,19.91,0.0,1,83.70,1,1.0,154,997.3,17.09,4.335
1509,07/29/20 08:30:00,20.01,0.0,1,82.60,1,1.0,154,997.4,16.98,4.340
1510,07/29/20 08:35:00,20.10,0.5,1,81.50,1,2.0,167,997.6,16.86,4.341
1511,07/29/20 08:40:00,20.01,1.0,1,81.90,1,2.0,202,997.7,16.84,4.341
1512,07/29/20 08:45:00,19.89,1.0,1,83.40,1,2.0,216,997.7,17.01,4.343
1513,07/29/20 08:50:00,19.94,0.5,1,82.90,1,1.5,208,997.7,16.97,4.343
1514,07/29/20 08:55:00,19.91,0.5,1,85.20,1,2.0,191,997.6,17.38,4.343
1515,07/29/20 09:00:00,19.60,0.0,1,86.40,1,1.0,175,997.9,17.29,4.343
1516,07/29/20 09:05:00,19.29,0.5,1,87.50,1,1.5,163,997.8,17.19,4.343
1517,07/29/20 09:10:00,19.20,0.0,1,88.50,1,1.0,157,997.9,17.27,4.343
1518,07/29/20 09:15:00,19.39,0.0,1,89.60,1,1.0,156,998.0,17.66,4.341
1519,07/29/20 09:20:00,19.51,0.0,1,88.60,1,1.0,156,997.7,17.60,4.341
1520,07/29/20 09:25:00,19.51,0.5,1,88.80,4,1.5,157,997.8,17.63,4.343
1521,07/29/20 09:30:00,18.91,0.5,2,90.00,6,1.5,156,997.9,17.26,4.343
1522,07/29/20 09:35:00,19.15,0.5,4,90.50,11,1.5,156,997.9,17.58,4.343
1523,07/29/20 09:40:00,19.25,0.5,7,90.10,19,1.5,156,997.9,17.61,4.344
1524,07/29/20 09:45:00,19.32,0.5,11,89.30,26,1.5,156,997.8,17.53,4.349
1525,07/29/20 09:50:00,19.75,0.0,19,88.30,41,1.0,160,998.0,17.78,4.362
1526,07/29/20 09:55:00,19.22,0.5,27,88.10,56,2.0,126,998.0,17.23,4.392
1527,07/29/20 10:00:00,19.41,0.5,37,89.20,74,1.5,352,997.9,17.61,4.445
1528,07/29/20 10:05:00,19.77,0.5,48,88.30,94,1.0,0,997.9,17.80,4.459
1529,07/29/20 10:10:00,19.60,0.5,59,87.60,116,1.5,1,997.9,17.51,4.442
1530,07/29/20 10:15:00,19.48,0.5,73,88.50,141,1.5,11,997.8,17.56,4.423
1531,07/29/20 10:20:00,20.34,0.0,89,86.90,171,1.0,14,997.9,18.11,4.405
1532,07/29/20 10:25:00,20.98,0.0,103,84.90,201,0.5,14,998.0,18.37,4.408
1533,07/29/20 10:30:00,21.03,0.0,114,85.70,229,0.5,14,997.9,18.57,4.444
1534,07/29/20 10:35:00,20.56,0.5,127,86.30,254,1.5,185,997.8,18.21,4.465
1535,07/29/20 10:40:00,20.46,0.5,139,86.50,281,1.5,173,997.9,18.15,4.447
1536,07/29/20 10:45:00,20.48,0.5,152,86.00,311,1.5,173,997.8,18.08,4.424
1537,07/29/20 10:50:00,20.70,0.5,166,84.40,341,1.5,173,997.8,18.00,4.411
1538,07/29/20 10:55:00,20.94,0.0,181,82.80,376,1.0,173,997.7,17.92,4.400
1539,07/29/20 11:00:00,20.89,0.5,194,82.30,406,1.0,173,997.5,17.78,4.414
1540,07/29/20 11:05:00,20.91,0.5,208,82.50,436,1.0,173,997.7,17.84,4.454
1541,07/29/20 11:10:00,20.96,0.5,221,82.50,464,1.5,174,997.7,17.89,4.465
1542,07/29/20 11:15:00,21.08,1.0,233,80.80,496,2.0,188,997.7,17.68,4.441
