Line#,Date,"Wind Speed (S-WSB 10979906:10955814-1), m/s, Bree_met_5","Gust Speed (S-WSB 10979906:10955814-2), m/s, Bree_met_5","PAR (S-LIA 10979906:10962914-1), uE, Bree_met_5","Solar Radiation (S-LIB 10979906:10969905-1), W/m^2, Bree_met_5","Wind Direction (S-WDA 10979906:10969970-1), *, Bree_met_5","Pressure (S-BPB 10979906:10972867-1), mbar, Bree_met_5","Temperature (S-THB 10979906:10974876-1), *C, Bree_met_5","RH (S-THB 10979906:10974876-2), %, Bree_met_5","Dew Point (S-THB 10979906:10974876-3), *C, Bree_met_5"
1,07/01/20 00:00:00,1.0,1.5,34,13,336,"1,000.4",22.49,83.80,19.64
2,07/01/20 00:05:00,1.5,3.5,34,14,355,"1,000.5",22.56,83.00,19.55
3,07/01/20 00:10:00,3.0,4.0,39,17,1,"1,000.4",22.42,81.10,19.04
4,07/01/20 00:15:00,3.0,4.0,34,16,357,"1,000.3",22.25,82.60,19.17
5,07/01/20 00:20:00,4.0,5.0,29,13,6,"1,000.3",22.25,82.20,19.09
6,07/01/20 00:25:00,4.0,6.0,21,8,10,"1,000.4",22.18,81.10,18.81
7,07/01/20 00:30:00,4.0,6.0,19,7,11,"1,000.4",22.15,81.20,18.80
8,07/01/20 00:35:00,4.0,5.5,14,6,15,"1,000.4",22.13,80.80,18.70
9,07/01/20 00:40:00,3.5,5.0,11,4,10,"1,000.5",21.99,80.40,18.48
10,07/01/20 00:45:00,2.5,4.0,6,3,4,"1,000.6",21.89,81.00,18.51
11,07/01/20 00:50:00,2.0,3.0,4,2,10,"1,000.7",21.70,81.20,18.36
12,07/01/20 00:55:00,2.0,2.5,1,1,10,"1,000.6",21.65,82.40,18.55
13,07/01/20 01:00:00,2.0,3.0,1,1,11,"1,000.6",21.56,83.90,18.74
14,07/01/20 01:05:00,1.5,2.5,1,1,15,"1,000.5",21.46,82.60,18.40
15,07/01/20 01:10:00,1.5,2.5,1,1,20,"1,000.6",21.46,84.00,18.67
16,07/01/20 01:15:00,1.5,2.5,1,1,11,"1,000.7",21.49,83.30,18.56
17,07/01/20 01:20:00,1.5,2.5,1,1,347,"1,000.8",21.17,84.80,18.54
18,07/01/20 01:25:00,1.0,2.0,1,1,330,"1,000.8",20.96,85.40,18.44
19,07/01/20 01:30:00,1.0,2.0,1,1,326,"1,000.8",20.98,85.20,18.43
20,07/01/20 01:35:00,1.5,2.0,1,1,320,"1,000.9",20.91,86.00,18.51
21,07/01/20 01:40:00,2.0,3.0,1,1,326,"1,000.9",20.89,85.90,18.46
22,07/01/20 01:45:00,2.0,3.0,1,1,331,"1,001.1",20.75,86.40,18.42
23,07/01/20 01:50:00,1.5,2.5,1,1,345,"1,001.2",20.70,86.30,18.35
24,07/01/20 01:55:00,1.0,2.0,1,1,352,"1,001.2",20.65,86.40,18.32
25,07/01/20 02:00:00,1.5,2.0,1,1,357,"1,001.0",20.56,86.80,18.30
26,07/01/20 02:05:00,1.0,2.0,1,1,0,"1,000.9",20.56,86.90,18.32
27,07/01/20 02:10:00,1.0,2.5,1,1,354,"1,001.0",20.60,87.30,18.44
28,07/01/20 02:15:00,1.5,2.5,1,1,336,"1,000.9",20.41,87.60,18.31
29,07/01/20 02:20:00,2.0,3.0,1,1,337,"1,001.1",20.22,88.50,18.28
30,07/01/20 02:25:00,2.0,3.0,1,1,344,"1,000.7",20.36,88.90,18.50
31,07/01/20 02:30:00,2.0,3.5,1,1,336,"1,000.8",20.41,88.40,18.45
32,07/01/20 02:35:00,2.5,3.5,1,1,324,"1,000.8",20.34,87.70,18.26
33,07/01/20 02:40:00,3.0,4.0,1,1,329,"1,000.7",20.39,87.90,18.34
34,07/01/20 02:45:00,2.5,3.5,1,1,341,"1,000.6",20.27,88.80,18.39
35,07/01/20 02:50:00,2.5,3.0,1,1,3,"1,000.7",19.98,90.70,18.44
36,07/01/20 02:55:00,2.5,3.5,1,1,358,"1,000.8",19.86,91.20,18.41
37,07/01/20 03:00:00,2.5,3.5,1,1,350,"1,000.6",19.72,90.90,18.22
38,07/01/20 03:05:00,3.0,4.0,1,1,354,"1,000.6",19.84,89.90,18.16
39,07/01/20 03:10:00,2.0,3.0,1,1,4,"1,000.6",19.79,90.90,18.29
40,07/01/20 03:15:00,2.0,3.0,1,1,357,"1,000.6",19.51,91.20,18.06
41,07/01/20 03:20:00,2.0,3.0,1,1,343,"1,000.5",19.60,91.80,18.26
42,07/01/20 03:25:00,1.5,3.0,1,1,337,"1,000.6",19.65,91.70,18.29
43,07/01/20 03:30:00,2.5,3.0,1,1,340,"1,000.5",19.58,91.60,18.20
44,07/01/20 03:35:00,2.0,3.0,1,1,338,"1,000.5",19.63,92.00,18.31
45,07/01/20 03:40:00,2.0,3.0,1,1,327,"1,000.5",19.60,91.90,18.27
46,07/01/20 03:45:00,2.0,3.0,1,1,326,"1,000.5",19.51,91.60,18.13
47,07/01/20 03:50:00,2.0,3.0,1,1,333,"1,000.5",19.48,91.80,18.14
48,07/01/20 03:55:00,2.0,3.0,1,1,345,"1,000.4",19.58,91.70,18.22
49,07/01/20 04:00:00,2.5,3.5,1,1,358,"1,000.4",19.60,91.60,18.22
50,07/01/20 04:05:00,2.5,3.5,1,1,358,"1,000.4",19.63,91.60,18.25
51,07/01/20 04:10:00,2.5,3.0,1,1,350,"1,000.4",19.67,91.80,18.33
52,07/01/20 04:15:00,2.0,3.0,1,1,345,"1,000.3",19.60,91.40,18.19
53,07/01/20 04:20:00,2.0,2.5,1,1,344,"1,000.2",19.60,91.80,18.26
54,07/01/20 04:25:00,2.0,3.0,1,1,327,"1,000.3",19.44,92.00,18.13
55,07/01/20 04:30:00,2.0,3.0,1,1,320,"1,000.4",19.39,92.30,18.13
56,07/01/20 04:35:00,2.5,3.5,1,1,323,"1,000.4",19.32,92.20,18.04
57,07/01/20 04:40:00,2.0,2.5,1,1,314,"1,000.4",19.20,92.20,17.93
58,07/01/20 04:45:00,2.0,3.0,1,1,327,"1,000.2",19.13,92.50,17.91
59,07/01/20 04:50:00,2.0,4.0,1,1,314,"1,000.2",19.08,92.70,17.89
60,07/01/20 04:55:00,2.0,3.5,1,1,330,"1,000.1",19.03,92.60,17.83
61,07/01/20 05:00:00,2.0,3.0,1,1,330,"1,000.2",19.01,92.70,17.82
62,07/01/20 05:05:00,2.0,3.5,1,1,326,"1,000.0",18.89,92.90,17.74
63,07/01/20 05:10:00,1.5,2.5,1,1,329,"1,000.0",18.89,93.00,17.76
64,07/01/20 05:15:00,1.5,2.5,1,1,330,"1,000.2",18.87,93.10,17.75
65,07/01/20 05:20:00,1.5,2.5,1,1,348,"1,000.2",18.94,93.30,17.85
66,07/01/20 05:25:00,1.0,2.0,1,1,351,"1,000.2",19.03,93.20,17.93
67,07/01/20 05:30:00,1.0,2.5,1,1,338,"1,000.0",19.17,93.20,18.07
68,07/01/20 05:35:00,1.0,2.5,1,1,334,"1,000.0",19.03,92.90,17.88
69,07/01/20 05:40:00,1.5,2.5,1,1,333,"1,000.0",18.96,92.60,17.76
70,07/01/20 05:45:00,1.5,2.5,1,1,329,999.9,19.01,92.60,17.81
71,07/01/20 05:50:00,2.0,2.5,1,1,352,"1,000.1",18.98,92.50,17.76
72,07/01/20 05:55:00,2.0,3.0,1,1,338,"1,000.0",18.98,92.60,17.78
73,07/01/20 06:00:00,1.5,3.0,1,1,337,999.9,18.89,92.50,17.67
74,07/01/20 06:05:00,1.5,3.0,1,1,352,999.9,18.94,93.00,17.80
75,07/01/20 06:10:00,1.5,3.0,1,1,11,999.8,18.91,92.80,17.75
76,07/01/20 06:15:00,1.5,2.5,1,1,22,999.9,18.79,93.30,17.71
77,07/01/20 06:20:00,2.0,3.0,1,1,7,999.7,18.87,93.00,17.73
78,07/01/20 06:25:00,1.0,2.5,1,1,357,999.7,18.98,93.30,17.90
79,07/01/20 06:30:00,0.5,1.5,1,1,330,999.6,18.84,93.00,17.71
80,07/01/20 06:35:00,0.5,1.5,1,1,330,999.6,18.87,92.90,17.72
81,07/01/20 06:40:00,1.0,1.5,1,1,329,999.6,18.91,93.00,17.78
82,07/01/20 06:45:00,1.0,2.0,1,1,327,999.6,18.89,92.90,17.74
83,07/01/20 06:50:00,2.0,3.0,1,1,336,999.5,19.03,92.50,17.81
84,07/01/20 06:55:00,1.5,2.5,1,1,334,999.5,19.01,92.70,17.82
85,07/01/20 07:00:00,2.0,3.0,1,1,337,999.6,19.10,92.40,17.87
86,07/01/20 07:05:00,2.0,3.0,1,1,337,999.5,19.15,92.30,17.90
87,07/01/20 07:10:00,2.0,3.0,1,1,330,999.5,19.13,92.00,17.82
88,07/01/20 07:15:00,2.0,3.0,1,1,323,999.5,19.08,92.20,17.81
89,07/01/20 07:20:00,2.5,3.5,1,1,333,999.4,18.98,92.30,17.73
90,07/01/20 07:25:00,2.5,3.5,1,1,340,999.6,19.06,92.40,17.82
91,07/01/20 07:30:00,2.5,3.5,1,1,336,999.4,19.03,92.70,17.85
92,07/01/20 07:35:00,2.5,4.0,1,1,338,999.4,18.96,92.70,17.78
93,07/01/20 07:40:00,3.0,4.0,1,1,343,999.4,19.01,92.90,17.86
94,07/01/20 07:45:00,3.0,4.5,1,1,350,999.4,18.96,93.30,17.88
95,07/01/20 07:50:00,3.5,4.5,1,1,345,999.5,18.94,93.40,17.87
96,07/01/20 07:55:00,3.0,4.0,1,1,338,999.5,18.77,93.40,17.71
97,07/01/20 08:00:00,2.5,3.5,1,1,324,999.6,18.53,93.70,17.52
98,07/01/20 08:05:00,2.0,3.0,1,1,326,999.5,18.46,93.90,17.48
99,07/01/20 08:10:00,2.0,3.0,1,1,326,999.6,18.49,94.20,17.56
100,07/01/20 08:15:00,1.5,3.0,1,1,333,999.5,18.68,94.20,17.75
101,07/01/20 08:20:00,2.0,3.0,1,1,341,999.5,18.63,93.90,17.65
102,07/01/20 08:25:00,1.5,2.5,1,1,345,999.6,18.77,94.00,17.81
103,07/01/20 08:30:00,1.0,2.0,1,1,357,999.6,18.75,93.80,17.75
104,07/01/20 08:35:00,1.0,2.0,1,1,327,999.5,18.68,93.50,17.63
105,07/01/20 08:40:00,1.0,2.5,1,1,307,999.4,18.65,93.60,17.62
106,07/01/20 08:45:00,1.0,2.0,1,1,320,999.4,18.72,93.50,17.68
107,07/01/20 08:50:00,1.0,2.5,1,1,340,999.5,18.79,93.40,17.73
108,07/01/20 08:55:00,1.5,2.5,1,1,0,999.4,18.84,93.20,17.74
109,07/01/20 09:00:00,1.5,3.0,1,1,1,999.4,18.89,93.20,17.79
110,07/01/20 09:05:00,1.5,2.5,4,1,18,999.4,18.79,92.70,17.61
111,07/01/20 09:10:00,1.5,2.5,6,2,29,999.3,18.75,93.40,17.68
112,07/01/20 09:15:00,0.5,2.0,9,2,41,999.4,18.82,93.70,17.80
113,07/01/20 09:20:00,1.0,2.0,11,3,51,999.3,18.70,93.50,17.65
114,07/01/20 09:25:00,0.5,1.5,14,4,39,999.3,18.65,94.10,17.71
115,07/01/20 09:30:00,0.5,1.5,19,7,39,999.3,18.60,93.90,17.63
116,07/01/20 09:35:00,0.5,1.0,21,7,39,999.3,18.70,94.00,17.74
117,07/01/20 09:40:00,0.0,1.0,24,8,39,999.3,18.68,94.00,17.71
118,07/01/20 09:45:00,0.5,1.5,29,13,58,999.4,18.56,94.20,17.63
119,07/01/20 09:50:00,0.0,1.5,49,24,77,999.5,18.58,94.70,17.74
120,07/01/20 09:55:00,0.0,2.0,36,16,62,999.6,18.75,94.60,17.89
121,07/01/20 10:00:00,1.5,2.5,21,8,309,999.7,18.63,93.80,17.63
122,07/01/20 10:05:00,1.0,2.0,19,7,303,999.7,18.56,93.80,17.56
123,07/01/20 10:10:00,1.5,2.5,29,11,303,999.6,18.60,94.10,17.66
124,07/01/20 10:15:00,1.0,2.0,46,18,300,999.6,18.60,94.10,17.66
125,07/01/20 10:20:00,1.5,2.5,59,23,309,999.7,18.63,94.00,17.67
126,07/01/20 10:25:00,1.5,2.5,71,28,319,999.6,18.46,94.20,17.53
127,07/01/20 10:30:00,1.5,3.0,104,47,302,999.5,18.08,94.60,17.22
128,07/01/20 10:35:00,2.0,3.0,131,61,305,999.5,17.87,94.90,17.06
129,07/01/20 10:40:00,1.5,3.0,121,57,299,999.5,17.91,95.30,17.17
130,07/01/20 10:45:00,1.5,2.5,134,64,303,999.4,17.84,95.60,17.15
131,07/01/20 10:50:00,1.5,3.0,119,56,306,999.6,17.84,95.70,17.17
132,07/01/20 10:55:00,1.0,2.5,111,51,299,999.5,17.82,95.90,17.18
133,07/01/20 11:00:00,1.5,2.5,179,84,309,999.5,17.89,95.80,17.23
134,07/01/20 11:05:00,2.0,3.0,259,124,288,999.3,17.87,96.00,17.24
135,07/01/20 11:10:00,2.5,3.5,281,131,309,999.4,17.82,96.10,17.21
136,07/01/20 11:15:00,2.0,3.5,271,124,310,999.4,17.72,96.10,17.12
137,07/01/20 11:20:00,1.5,2.5,254,117,324,999.5,17.80,96.10,17.19
138,07/01/20 11:25:00,1.5,2.5,234,108,326,999.6,17.87,96.10,17.26
139,07/01/20 11:30:00,1.5,2.5,306,147,323,999.5,18.25,96.20,17.65
140,07/01/20 11:35:00,2.0,3.0,369,177,326,999.5,18.30,96.20,17.70
141,07/01/20 11:40:00,2.0,3.0,476,228,317,999.5,18.39,95.90,17.75
142,07/01/20 11:45:00,1.5,3.0,449,209,316,999.4,18.51,95.50,17.80
143,07/01/20 11:50:00,1.0,2.5,479,221,324,999.4,18.72,95.00,17.93
144,07/01/20 11:55:00,1.0,2.0,689,311,334,999.4,19.01,94.30,18.09
145,07/01/20 12:00:00,0.5,1.5,871,399,354,999.4,19.58,93.10,18.46
146,07/01/20 12:05:00,1.0,2.0,544,241,7,999.5,19.39,92.30,18.13
147,07/01/20 12:10:00,1.5,2.0,469,206,11,999.3,19.17,93.20,18.07
148,07/01/20 12:15:00,2.0,3.5,599,269,357,999.5,19.25,93.20,18.14
149,07/01/20 12:20:00,2.5,3.5,"1,066",493,357,999.4,19.37,93.30,18.28
150,07/01/20 12:25:00,2.0,3.5,"1,231",568,348,999.5,19.60,92.70,18.41
151,07/01/20 12:30:00,1.5,2.5,"1,279",583,323,999.4,20.36,91.20,18.91
152,07/01/20 12:35:00,1.0,2.5,"1,154",519,338,999.5,20.51,90.50,18.92
153,07/01/20 12:40:00,0.5,1.5,591,259,337,999.8,20.29,89.90,18.61
154,07/01/20 12:45:00,0.0,0.5,581,268,337,999.8,20.25,90.10,18.59
155,07/01/20 12:50:00,0.0,0.0,724,339,337,999.7,20.60,90.10,18.95
156,07/01/20 12:55:00,0.0,0.0,854,394,337,999.8,21.39,88.90,19.51
157,07/01/20 13:00:00,0.0,0.0,586,266,337,999.7,21.56,87.20,19.36
158,07/01/20 13:05:00,0.0,1.0,564,256,337,999.8,20.82,88.30,18.84
159,07/01/20 13:10:00,0.0,1.0,791,364,337,999.7,20.82,88.20,18.82
160,07/01/20 13:15:00,0.0,1.0,684,321,337,999.8,20.82,88.20,18.82
161,07/01/20 13:20:00,0.5,1.5,711,338,334,999.6,20.67,87.90,18.62
162,07/01/20 13:25:00,1.0,1.5,721,341,310,999.6,20.56,88.80,18.67
163,07/01/20 13:30:00,0.5,1.5,524,248,306,999.7,20.72,88.70,18.81
164,07/01/20 13:35:00,1.0,2.5,526,251,302,999.7,20.70,88.10,18.68
165,07/01/20 13:40:00,1.5,3.0,526,249,310,999.8,20.72,88.30,18.74
166,07/01/20 13:45:00,1.0,3.0,551,263,293,999.7,20.67,88.20,18.68
167,07/01/20 13:50:00,1.0,2.5,569,272,285,999.7,20.82,87.90,18.76
168,07/01/20 13:55:00,1.0,3.0,629,299,291,999.6,20.89,87.00,18.67
169,07/01/20 14:00:00,1.5,2.5,786,369,278,999.6,20.98,87.20,18.80
170,07/01/20 14:05:00,1.0,2.0,809,381,278,999.6,21.08,86.50,18.76
171,07/01/20 14:10:00,0.5,2.0,874,414,291,999.5,21.44,86.00,19.02
172,07/01/20 14:15:00,1.0,3.0,"1,156",544,288,999.6,21.49,85.40,18.96
173,07/01/20 14:20:00,1.0,2.5,"1,246",581,282,999.6,21.53,85.60,19.04
174,07/01/20 14:25:00,0.0,1.0,"1,076",498,282,999.6,22.08,83.80,19.24
175,07/01/20 14:30:00,0.5,1.5,"1,891",902,282,999.4,22.03,84.10,19.25
176,07/01/20 14:35:00,0.5,1.5,741,343,282,999.6,21.87,83.60,18.99
177,07/01/20 14:40:00,1.0,2.5,601,283,281,999.5,21.75,84.20,18.99
178,07/01/20 14:45:00,0.5,2.5,491,232,282,999.6,21.84,83.40,18.93
179,07/01/20 14:50:00,0.5,1.5,426,204,282,999.6,21.96,83.50,19.06
180,07/01/20 14:55:00,0.5,2.0,634,301,257,999.5,22.01,83.10,19.03
181,07/01/20 15:00:00,0.5,2.0,749,357,244,999.4,22.27,83.70,19.41
182,07/01/20 15:05:00,1.5,2.5,"1,194",557,282,999.2,22.32,83.20,19.36
183,07/01/20 15:10:00,2.0,4.5,906,426,271,999.1,22.11,82.80,19.07
184,07/01/20 15:15:00,2.5,3.5,864,407,278,999.1,22.18,83.60,19.29
185,07/01/20 15:20:00,3.0,4.5,689,324,303,999.2,22.23,82.60,19.15
186,07/01/20 15:25:00,3.0,4.5,589,279,305,999.2,22.37,81.20,19.01
187,07/01/20 15:30:00,3.0,4.0,604,288,312,999.2,22.47,80.60,18.99
188,07/01/20 15:35:00,3.0,4.0,694,328,293,999.1,22.39,81.50,19.10
189,07/01/20 15:40:00,2.5,3.5,986,464,314,999.1,22.61,79.90,18.99
190,07/01/20 15:45:00,1.5,3.0,986,463,298,998.9,22.78,80.30,19.23
191,07/01/20 15:50:00,2.0,3.5,854,398,292,999.1,22.82,79.80,19.18
192,07/01/20 15:55:00,1.5,3.5,"1,414",668,275,998.8,23.02,79.30,19.26
193,07/01/20 16:00:00,2.0,3.5,741,352,278,998.9,23.06,79.30,19.31
194,07/01/20 16:05:00,1.5,4.5,"1,181",559,298,998.7,23.40,78.50,19.47
195,07/01/20 16:10:00,2.0,4.0,736,354,312,998.5,23.38,75.80,18.89
196,07/01/20 16:15:00,2.0,4.0,664,313,324,998.5,23.52,77.80,19.45
197,07/01/20 16:20:00,2.0,5.0,661,317,323,998.6,23.57,76.00,19.12
198,07/01/20 16:25:00,2.0,4.5,634,321,326,998.6,23.50,76.40,19.13
199,07/01/20 16:30:00,3.5,5.0,696,354,329,998.5,23.04,79.30,19.29
200,07/01/20 16:35:00,2.5,4.0,831,412,333,998.6,23.06,79.40,19.33
201,07/01/20 16:40:00,1.0,2.5,999,489,334,998.4,23.28,78.90,19.44
202,07/01/20 16:45:00,0.5,1.5,"2,544","1,279",343,998.3,23.62,78.30,19.64
203,07/01/20 16:50:00,0.0,1.0,"2,449","1,258",347,998.2,24.17,76.20,19.74
204,07/01/20 16:55:00,0.5,1.5,969,469,323,998.1,23.88,76.70,19.57
205,07/01/20 17:00:00,0.5,1.5,"1,351",662,80,998.1,23.95,76.00,19.49
206,07/01/20 17:05:00,1.0,2.0,506,259,79,998.2,23.69,76.20,19.27
207,07/01/20 17:10:00,0.5,1.5,544,272,76,997.9,23.76,76.30,19.36
208,07/01/20 17:15:00,0.5,2.0,774,371,3,998.0,24.19,74.20,19.33
209,07/01/20 17:20:00,1.0,2.0,"1,004",478,321,997.9,24.24,73.70,19.27
210,07/01/20 17:25:00,1.0,2.0,641,318,14,998.0,24.17,73.90,19.25
211,07/01/20 17:30:00,1.0,1.5,266,149,51,998.0,23.88,75.50,19.31
212,07/01/20 17:35:00,2.0,4.5,334,164,38,998.1,22.15,78.20,18.20
213,07/01/20 17:40:00,0.5,2.0,394,186,35,998.0,22.58,77.80,18.54
214,07/01/20 17:45:00,0.5,2.0,486,224,6,997.9,23.40,76.20,18.99
215,07/01/20 17:50:00,0.5,1.5,429,204,347,998.1,23.54,77.90,19.49
216,07/01/20 17:55:00,2.5,4.5,236,123,327,998.3,22.63,83.30,19.68
217,07/01/20 18:00:00,2.0,4.0,356,176,352,998.0,22.15,81.20,18.80
218,07/01/20 18:05:00,0.5,2.5,"1,801",863,352,997.5,22.56,82.10,19.38
219,07/01/20 18:10:00,0.0,1.0,926,436,350,997.8,23.06,80.70,19.59
220,07/01/20 18:15:00,0.0,1.0,"1,049",478,355,997.7,23.06,80.60,19.57
221,07/01/20 18:20:00,0.0,0.5,"1,551",719,355,997.7,23.30,81.40,19.96
222,07/01/20 18:25:00,0.0,1.0,"1,379",616,355,997.5,23.52,80.40,19.98
223,07/01/20 18:30:00,0.0,1.0,"1,451",639,355,997.2,24.03,79.30,20.24
224,07/01/20 18:35:00,0.5,1.0,"1,514",667,320,997.3,23.54,81.10,20.14
225,07/01/20 18:40:00,0.5,1.0,889,401,300,997.5,23.52,81.00,20.10
226,07/01/20 18:45:00,0.5,1.0,934,421,300,997.3,23.52,80.80,20.06
227,07/01/20 18:50:00,0.5,1.5,716,342,288,997.4,23.57,80.60,20.06
228,07/01/20 18:55:00,1.0,1.5,474,233,248,997.4,23.45,80.30,19.89
229,07/01/20 19:00:00,1.0,1.5,424,209,240,997.6,23.42,80.40,19.88
230,07/01/20 19:05:00,1.0,1.5,431,213,240,997.7,23.26,81.30,19.90
231,07/01/20 19:10:00,0.5,1.5,611,298,240,997.5,23.23,81.60,19.93
232,07/01/20 19:15:00,0.5,1.0,806,391,240,997.3,23.47,81.50,20.15
233,07/01/20 19:20:00,0.0,1.0,999,473,240,997.1,24.00,79.90,20.34
234,07/01/20 19:25:00,0.0,0.0,834,396,240,997.0,24.17,78.90,20.30
235,07/01/20 19:30:00,0.0,0.5,689,327,240,997.3,24.29,78.30,20.30
236,07/01/20 19:35:00,0.0,1.0,"1,606",781,240,996.7,24.17,77.90,20.10
237,07/01/20 19:40:00,0.0,1.0,784,349,240,997.2,24.19,77.50,20.04
238,07/01/20 19:45:00,0.5,1.0,"1,649",761,240,996.4,24.27,78.30,20.27
239,07/01/20 19:50:00,0.5,1.0,"1,334",591,240,996.6,24.48,76.10,20.02
240,07/01/20 19:55:00,0.5,1.0,"1,501",683,240,996.3,24.60,76.20,20.16
241,07/01/20 20:00:00,0.5,1.0,"1,086",472,240,996.7,24.56,76.10,20.09
242,07/01/20 20:05:00,1.0,1.5,"1,606",729,239,996.1,24.34,76.90,20.05
243,07/01/20 20:10:00,1.5,2.0,"1,621",738,227,995.9,24.53,75.90,20.03
244,07/01/20 20:15:00,1.5,2.0,664,272,218,996.7,24.58,74.20,19.71
245,07/01/20 20:20:00,1.0,1.5,"1,526",708,197,995.8,24.90,72.60,19.66
246,07/01/20 20:25:00,0.5,1.5,626,266,195,996.8,24.94,70.50,19.23
247,07/01/20 20:30:00,1.0,1.5,376,158,195,997.0,24.60,72.30,19.31
248,07/01/20 20:35:00,0.5,1.5,331,129,191,997.0,24.56,71.80,19.15
249,07/01/20 20:40:00,0.0,0.5,"1,359",611,157,995.7,25.02,72.30,19.71
250,07/01/20 20:45:00,1.0,1.5,"1,281",569,178,995.7,25.04,72.60,19.80
251,07/01/20 20:50:00,1.0,2.0,499,204,225,996.7,25.23,73.20,20.12
252,07/01/20 20:55:00,1.0,2.0,"1,421",678,201,995.4,25.31,73.60,20.28
253,07/01/20 21:00:00,0.5,1.5,454,204,199,996.8,24.92,74.30,20.06
254,07/01/20 21:05:00,0.5,1.5,509,381,199,996.3,25.11,74.90,20.37
255,07/01/20 21:10:00,0.0,0.0,471,568,199,995.4,25.74,72.70,20.50
256,07/01/20 21:15:00,0.0,0.5,364,152,199,996.8,25.91,72.80,20.68
257,07/01/20 21:20:00,0.0,0.5,304,122,199,996.7,25.19,76.70,20.83
258,07/01/20 21:25:00,0.0,0.5,431,191,199,996.5,24.75,78.30,20.74
259,07/01/20 21:30:00,0.5,1.5,424,201,251,996.6,24.65,80.60,21.12
260,07/01/20 21:35:00,0.0,0.5,341,172,270,996.6,24.73,80.30,21.13
261,07/01/20 21:40:00,0.0,0.5,254,133,270,996.7,24.63,80.70,21.12
262,07/01/20 21:45:00,0.0,0.5,231,122,270,996.7,24.58,81.00,21.13
263,07/01/20 21:50:00,0.0,1.0,234,122,270,996.5,24.51,80.30,20.92
264,07/01/20 21:55:00,0.5,1.0,244,124,263,996.6,24.46,81.40,21.09
265,07/01/20 22:00:00,0.0,0.5,241,118,260,996.7,24.63,82.80,21.54
266,07/01/20 22:05:00,0.0,0.0,261,117,260,996.5,24.65,84.20,21.83
267,07/01/20 22:10:00,0.0,0.5,789,362,260,995.4,24.97,81.00,21.51
268,07/01/20 22:15:00,0.0,1.0,771,347,248,995.2,25.38,81.60,22.03
269,07/01/20 22:20:00,0.5,1.0,701,308,138,995.4,25.23,81.50,21.87
270,07/01/20 22:25:00,0.5,1.0,661,286,138,995.4,25.57,79.30,21.75
271,07/01/20 22:30:00,0.0,0.5,611,269,140,995.5,25.96,76.40,21.52
272,07/01/20 22:35:00,0.0,0.0,519,231,140,995.6,26.01,75.70,21.41
273,07/01/20 22:40:00,0.0,0.0,516,227,140,995.4,26.45,74.60,21.60
274,07/01/20 22:45:00,0.0,0.0,521,227,140,995.4,26.40,73.40,21.29
275,07/01/20 22:50:00,0.5,1.0,489,211,140,995.3,26.08,72.60,20.80
276,07/01/20 22:55:00,0.5,1.0,471,203,140,995.4,25.99,72.80,20.75
277,07/01/20 23:00:00,0.5,1.5,439,191,140,995.2,25.94,73.20,20.80
278,07/01/20 23:05:00,0.5,1.0,411,177,146,995.3,26.18,73.00,20.99
279,07/01/20 23:10:00,0.5,1.0,384,166,149,995.1,25.99,76.00,21.45
280,07/01/20 23:15:00,0.5,1.0,351,151,147,995.4,26.21,74.60,21.36
281,07/01/20 23:20:00,0.0,0.5,331,143,147,995.6,26.26,79.00,22.35
282,07/01/20 23:25:00,0.0,0.5,309,134,147,995.3,26.23,79.50,22.43
283,07/01/20 23:30:00,0.0,0.5,274,121,147,995.3,26.45,76.20,21.95
284,07/01/20 23:35:00,0.0,0.0,231,101,147,995.2,27.01,72.90,21.76
285,07/01/20 23:40:00,0.0,1.0,209,94,150,995.4,25.23,81.50,21.87
286,07/01/20 23:45:00,0.5,1.0,189,84,199,995.6,24.27,83.50,21.32
287,07/01/20 23:50:00,0.0,1.0,161,73,237,995.6,24.51,83.10,21.48
288,07/01/20 23:55:00,0.0,0.5,131,61,237,995.7,24.75,83.10,21.71
289,07/02/20 00:00:00,0.0,1.0,106,48,237,995.8,24.65,83.10,21.62
290,07/02/20 00:05:00,1.0,1.5,84,37,254,996.0,23.79,86.30,21.39
291,07/02/20 00:10:00,1.0,1.5,61,26,246,996.2,23.52,87.20,21.30
292,07/02/20 00:15:00,0.5,1.0,46,16,244,996.5,23.26,88.60,21.30
293,07/02/20 00:20:00,0.0,0.5,39,13,244,996.6,23.16,88.90,21.26
294,07/02/20 00:25:00,0.0,0.5,31,11,244,996.5,23.30,87.10,21.06
295,07/02/20 00:30:00,0.0,0.5,24,8,218,996.5,23.35,86.70,21.04
296,07/02/20 00:35:00,0.0,0.5,16,7,156,996.9,23.21,88.20,21.17
297,07/02/20 00:40:00,0.0,0.5,11,4,161,996.8,23.02,89.00,21.13
298,07/02/20 00:45:00,0.0,0.0,6,3,177,996.9,23.09,90.00,21.39
299,07/02/20 00:50:00,0.0,0.5,4,2,166,996.9,22.78,90.40,21.15
300,07/02/20 00:55:00,0.0,1.0,1,1,149,997.0,22.63,90.40,21.01
301,07/02/20 01:00:00,0.0,0.5,1,1,140,996.9,22.70,90.10,21.02
302,07/02/20 01:05:00,0.0,0.5,1,1,135,996.9,22.66,90.30,21.01
303,07/02/20 01:10:00,0.0,0.5,1,1,135,997.2,22.44,91.30,20.98
304,07/02/20 01:15:00,0.0,1.0,1,1,201,997.3,22.35,91.90,20.99
